Tijd,Versnelling 1,Versnelling 2
0.00013740274805496108,4.862837087520876e-12,0.0
0.0001380027600552011,4.894229782792509e-12,0.0
0.0001386027720554411,4.925821591000549e-12,0.0
0.0001392027840556811,4.9576137518470794e-12,0.0
0.00013980279605592112,4.989607512497232e-12,0.0
0.0001404028080561611,5.0218041277923245e-12,0.0
0.0001410028200564011,5.054204860050113e-12,0.0
0.00014160283205664112,5.086810979554588e-12,0.0
0.00014220284405688113,5.119623764237833e-12,0.0
0.00014280285605712114,5.1526444996261914e-12,0.0
0.00014340286805736115,5.1858744794761265e-12,0.0
0.00014400288005760113,5.219315005071646e-12,0.0
0.00014460289205784114,5.252967385818042e-12,0.0
0.00014520290405808115,5.286832939075635e-12,0.0
0.00014580291605832116,5.320912990273853e-12,0.0
0.00014640292805856116,5.355208872793753e-12,0.0
0.00014700294005880115,5.3897219283264645e-12,0.0
0.00014760295205904118,5.42445350644755e-12,0.0
0.00014820296405928116,5.459404965484544e-12,0.0
0.00014880297605952115,5.494577671328218e-12,0.0
0.00014940298805976118,5.529972998736271e-12,0.0
0.0001500030000600012,5.565592330869683e-12,0.0
0.0001506030120602412,5.60143705871007e-12,0.0
0.0001512030240604812,5.6375085824424985e-12,0.0
0.0001518030360607212,5.673808310331379e-12,0.0
0.0001524030480609612,5.710337659237603e-12,0.0
0.0001530030600612012,5.7470980549451956e-12,0.0
0.00015360307206144122,5.78409093156752e-12,0.0
0.00015420308406168123,5.821317732181043e-12,0.0
0.00015480309606192124,5.858779908422019e-12,0.0
0.00015540310806216125,5.896478921071884e-12,0.0
0.00015600312006240123,5.9344162395137126e-12,0.0
0.00015660313206264124,5.972593342078955e-12,0.0
0.00015720314406288125,6.01101171643476e-12,0.0
0.00015780315606312123,6.049672858860436e-12,0.0
0.00015840316806336126,6.088578274883071e-12,0.0
0.00015900318006360127,6.127729479422215e-12,0.0
0.00015960319206384123,6.16712799632315e-12,0.0
0.00016020320406408126,6.206775358397222e-12,0.0
0.00016080321606432127,6.246673108912489e-12,0.0
0.00016140322806456128,6.286822799059023e-12,0.0
0.0001620032400648013,6.327225990479785e-12,0.0
0.0001626032520650413,6.367884253879643e-12,0.0
0.0001632032640652813,6.4087991695946076e-12,0.0
0.0001638032760655213,6.449972327611349e-12,0.0
0.0001644032880657613,6.4914053273902234e-12,0.0
0.0001650033000660013,6.533099778397866e-12,0.0
0.00016560331206624132,6.575057299571308e-12,0.0
0.00016620332406648133,6.6172795198987485e-12,0.0
0.00016680333606672134,6.659768078160252e-12,0.0
0.00016740334806696132,6.70252462300612e-12,0.0
0.00016800336006720133,6.7455508132030374e-12,0.0
0.00016860337206744134,6.788848317642527e-12,0.0
0.00016920338406768134,6.8324188151696315e-12,0.0
0.00016980339606792135,6.876263994923796e-12,0.0
0.00017040340806816136,6.920385556286143e-12,0.0
0.00017100342006840134,6.9647852088270276e-12,0.0
0.00017160343206864135,7.009464672642194e-12,0.0
0.00017220344406888136,7.0544256781549264e-12,0.0
0.00017280345606912137,7.0996699664080655e-12,0.0
0.00017340346806936138,7.145199288799016e-12,0.0
0.0001740034800696014,7.191015407416334e-12,0.0
0.0001746034920698414,7.237120095231352e-12,0.0
0.00017520350407008138,7.283515135541057e-12,0.0
0.0001758035160703214,7.330202322824478e-12,0.0
0.0001764035280705614,7.377183462279411e-12,0.0
0.0001770035400708014,7.424460370050843e-12,0.0
0.00017760355207104142,7.472034873218641e-12,0.0
0.00017820356407128142,7.519908810069689e-12,0.0
0.0001788035760715214,7.568084029903169e-12,0.0
0.00017940358807176142,7.616562393173789e-12,0.0
0.00018000360007200142,7.665345771794313e-12,0.0
0.00018060361207224143,7.714436048871992e-12,0.0
0.00018120362407248144,7.763835118776492e-12,0.0
0.00018180363607272145,7.813544887684191e-12,0.0
0.00018240364807296143,7.863567272986569e-12,0.0
0.00018300366007320144,7.913904203739066e-12,0.0
0.00018360367207344145,7.964557620859041e-12,0.0
0.00018420368407368143,8.015529476856192e-12,0.0
0.00018480369607392147,8.066821735735682e-12,0.0
0.00018540370807416148,8.118436374277052e-12,0.0
0.0001860037200744015,8.170375380032158e-12,0.0
0.00018660373207464147,8.222640753609287e-12,0.0
0.00018720374407488148,8.275234506788863e-12,0.0
0.0001878037560751215,8.328158664442785e-12,0.0
0.00018840376807536152,8.38141526299142e-12,0.0
0.00018900378007560153,8.435006351434008e-12,0.0
0.00018960379207584151,8.488933991029674e-12,0.0
0.00019020380407608152,8.543200255443103e-12,0.0
0.00019080381607632153,8.597807231310664e-12,0.0
0.00019140382807656151,8.652757017222366e-12,0.0
0.00019200384007680152,8.708051724717578e-12,0.0
0.00019260385207704156,8.763693478384456e-12,0.0
0.00019320386407728157,8.819684415222174e-12,0.0
0.00019380387607752155,8.876026685198254e-12,0.0
0.00019440388807776156,8.93272245116549e-12,0.0
0.00019500390007800157,8.989773889580017e-12,0.0
0.00019560391207824155,9.04718318946538e-12,0.0
0.0001962039240784816,9.104952552780127e-12,0.0
0.0001968039360787216,9.163084196240203e-12,0.0
0.0001974039480789616,9.221580347587462e-12,0.0
0.0001980039600792016,9.280443250287187e-12,0.0
0.0001986039720794416,9.339675159896914e-12,0.0
0.0001992039840796816,9.39927834603785e-12,0.0
0.0001998039960799216,9.459255092148549e-12,0.0
0.0002004040080801616,9.51960769513699e-12,0.0
0.0002010040200804016,9.580338465862546e-12,0.0
0.0002016040320806416,9.641449729231086e-12,0.0
0.0002022040440808816,9.702943824090686e-12,0.0
0.0002028040560811216,9.764823103007271e-12,0.0
0.0002034040680813616,9.827089933456593e-12,0.0
0.0002040040800816016,9.889746696795788e-12,0.0
0.00020460409208184163,9.952795787952929e-12,0.0
0.00020520410408208164,1.0016239618111273e-11,0.0
0.0002058041160823216,1.008008061127581e-11,0.0
0.00020640412808256163,1.0144321206030489e-11,0.0
0.00020700414008280164,1.020896385769143e-11,0.0
0.00020760415208304165,1.0274011033600882e-11,0.0
0.00020820416408328168,1.0339465217824747e-11,0.0
0.00020880417608352167,1.0405328908986318e-11,0.0
0.00020940418808376165,1.0471604619934786e-11,0.0
0.00021000420008400168,1.053829487947753e-11,0.0
0.00021060421208424167,1.0605402232052326e-11,0.0
0.00021120422408448168,1.0672929235497664e-11,0.0
0.00021180423608472168,1.0740878465576893e-11,0.0
0.00021240424808496167,1.0809252511192469e-11,0.0
0.00021300426008520168,1.0878053978422633e-11,0.0
0.00021360427208544168,1.0947285488212051e-11,0.0
0.0002142042840856817,1.1016949677734248e-11,0.0
0.00021480429608592168,1.108704919952288e-11,0.0
0.00021540430808616168,1.115758672210541e-11,0.0
